DreamHack Winter 2012,No Tidehunter,Evil Geniuses
G-1 Champions League Season 4,PSG.LGD,Team DK
RaidCall Dota 2 League Season 1,Team Empire,Evil Geniuses
Electronic Sports World Cup 2012,Natus Vincere,Team Dignitas
StarLadder StarSeries Season 3,Natus Vincere,Team Empire
The International 2012,Invictus Gaming,Natus Vincere
The Defense Season 2,Complexity Gaming,Mousesports
Prodota 2 Worldwide League,PotM Bottom,Counter Logic Gaming
StarLadder StarSeries Season 2,Natus Vincere,Mousesports
The Premier League Season 2,Natus Vincere,Counter Logic Gaming
DreamHack Summer 2012,Mortal Teamwork,Natus Vincere
StarLadder StarSeries Season 1,Natus Vincere,Moscow Five
The Premier League Season 1,Natus Vincere,Complexity Gaming
The Defense Season 1,Natus Vincere,Quantic Gaming
Dota2 Star Championship,The Retry,Natus Vincere
Electronic Sports World Cup 2011,Natus Vincere,EHOME
The International 2011,Natus Vincere,EHOME
